code,tz_type,utc_offset,utc_dst_offset,tz_abbreviation,tz_dst_abbreviation,is_active
Asia/Ulan_Bator,Link,UTC+08:00,UTC+08:00,+08,+08,true
Asia/Urumqi,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Asia/Ust-Nera,Canonical,UTC+10:00,UTC+10:00,+10,+10,true
Asia/Vientiane,Link,UTC+07:00,UTC+07:00,+07,+07,false
Asia/Vladivostok,Canonical,UTC+10:00,UTC+10:00,+10,+10,true
Asia/Yakutsk,Canonical,UTC+09:00,UTC+09:00,+09,+09,true
Asia/Yangon,Canonical,UTC+06:30,UTC+06:30,+0630,+0630,true
Asia/Yekaterinburg,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Yerevan,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Atlantic/Azores,Canonical,UTC−01:00,UTC+00:00,-01,+00,true
Atlantic/Bermuda,Canonical,UTC−04:00,UTC−03:00,AST,ADT,true
Atlantic/Canary,Canonical,UTC+00:00,UTC+01:00,WET,WEST,true
Atlantic/Cape_Verde,Canonical,UTC−01:00,UTC−01:00,-01,-01,true
Atlantic/Faeroe,Link,UTC+00:00,UTC+01:00,WET,WEST,true
Atlantic/Faroe,Canonical,UTC+00:00,UTC+01:00,WET,WEST,true
Atlantic/Jan_Mayen,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Atlantic/Madeira,Canonical,UTC+00:00,UTC+01:00,WET,WEST,true
Atlantic/Reykjavik,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Atlantic/South_Georgia,Canonical,UTC−02:00,UTC−02:00,-02,-02,true
Atlantic/St_Helena,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Atlantic/Stanley,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
Australia/ACT,Link,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/Adelaide,Canonical,UTC+09:30,UTC+10:30,ACST,ACDT,true
Australia/Brisbane,Canonical,UTC+10:00,UTC+10:00,AEST,AEST,true
Australia/Broken_Hill,Canonical,UTC+09:30,UTC+10:30,ACST,ACDT,true
Australia/Canberra,Link,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/Currie,Link,UTC+10:00,UTC+11:00,AEST,AEDT,false
Australia/Darwin,Canonical,UTC+09:30,UTC+09:30,ACST,ACST,true
Australia/Eucla,Canonical,UTC+08:45,UTC+08:45,+0845,+0845,true
